section,text
571a,"There remains for consideration, said I, the tyrannical man himself—the manner of his development out of the democratic type and his character and the quality of his life, whether wretched or happy. Why, yes, he still remains, he said. Do you know, then, what it is that I still miss? What? In the matter of our desires I do not think we sufficiently distinguished their nature and number. And so long as this is lacking  our inquiry will lack clearness. Well, said he, will our consideration of them not still be opportune? By all means. And observe what it is about them that I wish to consider. It is this. Of our unnecessary pleasures and appetites there are some lawless ones, I think, which probably are to be found in us all, but which, when controlled by the laws and the better desires in alliance with reason, can in some men be altogether got rid of, or so nearly so that only a few weak ones remain,  while in others the remnant is stronger and more numerous. What desires do you mean? he said. Those, said I, that are awakened in sleep when the rest of the soul, the rational, gentle and dominant part, slumbers, but the beastly and savage part, replete with food and wine, gambols and, repelling sleep, endeavors to sally forth and satisfy its own instincts. You are aware that in such case there is nothing it will not venture to undertake as being released from all sense of shame and all reason. It does not shrink from attempting to lie with a mother  in fancy or with anyone else, man, god or brute. It is ready for any foul deed of blood; it abstains from no food, and, in a word, falls short of no extreme of folly and shamelessness. Most true, he said. But when, I suppose, a man’s condition is healthy and sober, and he goes to sleep after arousing his rational part and entertaining it with fair words and thoughts, and attaining to clear self-consciousness, while he has neither starved   nor indulged to repletion his appetitive part, so that it may be lulled to sleep  and not disturb the better part by its pleasure or pain, but may suffer that in isolated purity to examine and reach out towards and apprehend some of the things unknown to it, past, present or future;"
571b,our inquiry will lack clearness.
571c,while in others the remnant is stronger and more numerous.
571d,"in fancy or with anyone else, man, god or brute. It is ready for any foul deed of blood; it abstains from no food, and, in a word, falls short of no extreme of folly and shamelessness."
571e,"nor indulged to repletion his appetitive part, so that it may be lulled to sleep"
572a,"and not disturb the better part by its pleasure or pain, but may suffer that in isolated purity to examine and reach out towards and apprehend some of the things unknown to it, past, present or future;"
572b,the visions of his dreams are least likely to be lawless.
572c,His development was determined by his education from youth under a thrifty father who approved only the acquisitive appetites and disapproved the unnecessary ones whose object is entertainment and display. Is not that so?
572d,"being drawn both ways he settles down in a compromise between the two tendencies, and indulging and enjoying each in moderation, forsooth, as he supposes, he lives what he deems a life that is neither illiberal nor lawless, now transformed from an oligarch to a democrat."
572e,"to be repeated in his case. He is drawn toward utter lawlessness, which is called by his seducers complete freedom. His father and his other kin lend support to these compromise appetites while the others lend theirs to the opposite group."
573a,"of his idle and prodigal appetites, a monstrous winged drone. Or do you think the spirit of desire in such men is aught else?"
573b,"any opinions or appetites accounted worthy and still capable of shame, it slays them and thrusts them forth until it purges him of sobriety, and fills and infects him with frenzy brought in from outside."
573c,"have something of this tyrannical temper? Yes, he has. And again the madman, the deranged man, attempts and expects to rule over not only men but gods. Yes indeed, he does, he said. Then a man becomes tyrannical in the full sense of the word, my friend, I said, when either by nature or by habits or by both he has become even as the drunken, the erotic, the maniacal. Assuredly.
Such, it seems, is his origin and character, but what is his manner of life? As the wits say,   you shall tell me. I do, I said; for, I take it, next there are among them feasts and carousals and revellings and courtesans and all the doings of those whose souls are entirely swayed by the indwelling tyrant Eros. Inevitably, he said. And do not many and dread appetites shoot up beside this master passion every day and night in need of many things? Many indeed. And so any revenues there may be are quickly expended. Of course."
573d,you shall tell me.
573e,there are borrowings and levyings upon the estate?
574a,or violence?
574b,would he not at first attempt to rob and steal from his parents and deceive them?
574c,"his by necessity and from his birth? Or for the sake of a blooming new-found bel ami, not necessary to his life, he would rain blows upon the aged father past his prime, closest of his kin and oldest of his friends? And would he subject them to those new favorites if he brought them under the same roof?"
