section,text
543a,"Very good. We are agreed then, Glaucon, that the state which is to achieve the height of good government must have community of wives and children and all education, and also that the pursuits of men and women must be the same in peace and war, and that the rulers or kings over them are to be those who have approved themselves the best in both war and philosophy. We are agreed, he said. And we further granted this,   that when the rulers are established in office they shall conduct these soldiers and settle them in habitations such as we described, that have nothing private for anybody but are common for all, and in addition to such habitations we agreed, if you remember, what should be the nature of their possessions. Why, yes, I remember, he said, that we thought it right that none of them should have anything that ordinary men now possess, but that, being as it were athletes  of war and guardians, they should receive from the others as pay for their guardianship each year their yearly sustenance, and devote their entire attention to the care of themselves and the state. That is right, I said. But now that we have finished this topic let us recall the point at which we entered on the digression that has brought us here, so that we may proceed on our way again by the same path. That is easy, he said; for at that time, almost exactly as now, on the supposition that you had finished the description of the city, you were going on to say that you assumed such a city  as you then described and the corresponding type of man to be good, and that too though, as it appears, you had a still finer city and type of man to tell of;"
543b,"that when the rulers are established in office they shall conduct these soldiers and settle them in habitations such as we described, that have nothing private for anybody but are common for all, and in addition to such habitations we agreed, if you remember, what should be the nature of their possessions."
543c,"of war and guardians, they should receive from the others as pay for their guardianship each year their yearly sustenance, and devote their entire attention to the care of themselves and the state."
543d,"as you then described and the corresponding type of man to be good, and that too though, as it appears, you had a still finer city and type of man to tell of;"
544a,"but at any rate you were saying that the others are aberrations, if this city is right. But regarding the other constitutions, my recollection is that you said there were four species worth speaking of and observing their defects and the corresponding types of men, in order that when we had seen them all and come to an agreement about the best and the worst man, we might determine whether the best is the happiest and the worst most wretched or whether it is otherwise. And when I was asking what were"
544b,"the four constitutions you had in mind, Polemarchus and Adeimantus thereupon broke in, and that was how you took up the discussion again and brought to this point."
544c,"There will be no difficulty about that, said I. For those I mean are precisely those that have names in common usage: that which the many praised, your Cretan and Spartan constitution; and the second in place and in honor, that which is called oligarchy, a constitution teeming with many ills, and its sequent counterpart and opponent, democracy ; and then the noble tyranny surpassing them all, the fourth and final malady of a state.   Can you mention any other type of government, I mean any other that constitutes a distinct species? For, no doubt, there are hereditary principalities and purchased kingships, and similar intermediate constitutions which one could find in even greater numbers among the barbarians than among the Greeks. Certainly many strange ones are reported, he said. 
Are you aware, then, said I, that there must be as many types of character among men as there are forms of government? Or do you suppose that constitutions spring from the proverbial oak or rock and not from the characters of the citizens,  which, as it were, by their momentum and weight in the scales draw other things after them? They could not possibly come from any other source, he said. Then if the forms of government are five, the patterns of individual souls must be five also. Surely. Now we have already described the man corresponding to aristocracy or the government of the best, whom we aver to be the truly good and just man."
544d,"Can you mention any other type of government, I mean any other that constitutes a distinct species? For, no doubt, there are hereditary principalities and purchased kingships, and similar intermediate constitutions which one could find in even greater numbers among the barbarians than among the Greeks."
544e,"which, as it were, by their momentum and weight in the scales draw other things after them?"
545a,"We have. Must we not, then, next after this, survey the inferior types, the man who is contentious and covetous of honor, corresponding to the Laconian constitution, and the oligarchical man in turn, and the democratic and the tyrant, in order that, after observing the most unjust of all, we may oppose him to the most just, and complete our inquiry as to the relation of pure justice and pure injustice in respect of the happiness and unhappiness of the possessor, so that we may either follow the counsel of Thrasymachus and pursue injustice  or the present argument and pursue justice? Assuredly, he said, that is what we have to do. Shall we, then, as we began by examining moral qualities in states before individuals, as being more manifest there, so now consider first the constitution based on the love of honor? I do not know of any special name for it in use. We must call it either timocracy or timarchy. And then in connection with this  we will consider the man of that type, and thereafter oligarchy and the oligarch, and again, fixing our eyes on democracy, we will contemplate the democratic man: and fourthly, after coming to the city ruled by a tyrant and observing it, we will in turn take a look into the tyrannical soul, and so try to make ourselves competent judges of the question before us. That would be at least a systematic and consistent way of conducting the observation and the decision, he said. 
Come, then, said I, let us try to tell in what way a timocracy would arise out of an aristocracy.   Or is this the simple and unvarying rule, that in every form of government revolution takes its start from the ruling class itself, when dissension arises in that, but so long as it is at one with itself, however small it be, innovation is impossible? Yes, that is so. How, then, Glaucon, I said, will disturbance arise in our city, and how will our helpers and rulers fall out and be at odds with one another and themselves? Shall we, like Homer, invoke the Muses to tell how faction first fell upon them, Hom. Il. 1.6  and say that these goddesses playing with us and teasing us as if we were children address us in lofty, mock-serious tragic style?"
