section,text
386a,"Concerning the gods then, said I, this is the sort of thing that we must allow or not allow them to hear from childhood up, if they are to honor the gods and their fathers and mothers, and not to hold their friendship with one another in light esteem. That was our view and I believe it right. What then of this? If they are to be brave, must we not extend our prescription to include also the sayings that will make them least likely  to fear death? Or do you suppose that anyone could ever become brave who had that dread in his heart? No indeed, I do not, he replied. And again if he believes in the reality of the underworld and its terrors, do you think that any man will be fearless of death and in battle will prefer death to defeat and slavery? By no means. Then it seems we must exercise supervision also, in the matter of such tales as these, over those who undertake to supply them and request them not to dispraise in this undiscriminating fashion the life in Hades but rather praise it,  since what they now tell us is neither true nor edifying to men who are destined to be warriors. Yes, we must, he said. Then, said I, beginning with this verse we will expunge everything of the same kind: Liefer were I in the fields up above to be serf to another Tiller of some poor plot which yields him a scanty subsistence, Than to be ruler and king over all the dead who have perished, Aesch. Frag. 350  and this:  Lest unto men and immortals the homes of the dead be uncovered Horrible, noisome, dank, that the gods too hold in abhorrence,  Hom. Il. 20.64  and: Ah me! so it is true that e’en in the dwellings of Hades Spirit there is and wraith, but within there is no understanding, Hom. Il. 10.495  and this: Sole to have wisdom and wit, but the others are shadowy phantoms, Hom. Il. 23.103  and:  Forth from his limbs unwilling his spirit flitted to Hades, Wailing its doom and its lustihood lost and the May of its manhood, Hom. Il. 16.856"
386b,to fear death? Or do you suppose that anyone could ever become brave who had that dread in his heart?
386c,since what they now tell us is neither true nor edifying to men who are destined to be warriors.
386d,"Lest unto men and immortals the homes of the dead be uncovered Horrible, noisome, dank, that the gods too hold in abhorrence,  Hom. Il. 20.64  and: Ah me! so it is true that e’en in the dwellings of Hades Spirit there is and wraith, but within there is no understanding, Hom. Il. 10.495  and this: Sole to have wisdom and wit, but the others are shadowy phantoms, Hom. Il. 23.103  and:  Forth from his limbs unwilling his spirit flitted to Hades, Wailing its doom and its lustihood lost and the May of its manhood, Hom. Il. 16.856"
387a,"and: Under the earth like a vapor vanished the gibbering soul,  Hom. Il. 23.100 and:  Even as bats in the hollow of some mysterious grotto Fly with a flittermouse shriek when one of them falls from the cluster Whereby they hold to the rock and are clinging the one to the other, Flitted their gibbering ghosts.  Hom. Od. 24.6-10"
387b,"We will beg Homer and the other poets not to be angry if we cancel those and all similar passages, not that they are not poetic and pleasing to most hearers, but because the more poetic they are the less are they suited to the ears of boys and men who are destined to be free and to be more afraid of slavery than of death."
387c,"named of lamentation loud, abhorred Styx, the flood of deadly hate, the people of the infernal pit and of the charnel-house, and all other terms of this type, whose very names send a shudder through all the hearers every year. And they may be excellent for other purposes, but we are in fear for our guardians lest the habit of such thrills make them more sensitive and soft than we would have them."
387d,wailings and lamentations of men of repute?
387e,for a good life and is distinguished from other men in having least need of anybody else.
388a,"and not to the most worthy of them either, and to inferior men, in that those whom we say we are breeding for the guardianship of the land may disdain to act like these."
388b,"nor clutching with both hands the sooty dust and strewing it over his head,  nor as weeping and lamenting in the measure and manner attributed to him by the poet; nor yet Priam, near kinsman of the gods, making supplication and rolling in the dung,  Calling aloud unto each, by name to each man appealing.  Hom. Il. 22.414-415 And yet more than this shall we beg of them at least not to describe the gods as lamenting and crying,"
388c,"Ah, woe is me, woeful mother who bore to my sorrow the bravest,  Hom. Il. 18.54  and if they will so picture the gods at least not to have the effrontery to present so unlikely a likeness of the supreme god as to make him say: Out on it, dear to my heart is the man whose pursuit around Troy-town I must behold with my eyes while my spirit is grieving within me,  Hom. Il. 22.168  and: Ah, woe is me! of all men to me is Sarpedon the dearest,"
388d,"Fated to fall by the hands of Patroclus, Menoitius’ offspring. Hom. Il. 16.433-434 
For if, dear Adeimantus, our young men should seriously incline to listen to such tales and not laugh at them as unworthy utterances, still less surely would any man be to think such conduct unworthy of himself and to rebuke himself if it occurred to him to do or say anything of that kind, but without shame or restraint full many a dirge for trifles would he chant  and many a lament."
388e,"You say most truly, he replied. But that must not be, as our reasoning but now showed us, in which we must put our trust until someone convinces with a better reason. No, it must not be. Again, they must not be prone to laughter. For ordinarily when one abandons himself to violent laughter his condition provokes a violent reaction. I think so, he said."
389a,"by laughter we must accept it, much less if gods."
389b,"to call it mine,"
389c,"but for a layman to lie to rulers of that kind we shall affirm to be as great a sin, nay a greater, than it is for a patient not to tell physician or an athlete his trainer the truth about his bodily condition, or for a man to deceive the pilot about the ship and the sailors as to the real condition of himself or a fellow-sailor, and how they fare."
389d,"the ruler catches anybody else in the city lying, any of the craftsmen  Whether a prophet or healer of sickness or joiner of timbers, Hom. Od. 17.383-384 he will chastise him for introducing a practice as subversive and destructive of a state as it is of a ship."
389e,"over the bodily appetites and pleasures of food, drink, and the rest?"
390a,"and the lines that follow, are these well—and other impertinences in prose or verse of private citizens to their rulers?"
390b,Laden with bread and with meat and the cupbearer ladles the sweet wine Out of the mixer and bears it and empties it into the beakers.
390c,"watching while the other gods slept, because of the excitement of his passions, and was so overcome by the sight of Hera that he is not even willing to go to their chamber, but wants to lie with her there on the ground and says that he is possessed by a fiercer desire than when they first consorted with one another, Deceiving their dear parents. Hom. Il. 14.296 Nor will it profit them to hear of Hephaestus’s fettering Ares and Aphrodite for a like motive."
390d,"I don’t think it will. But any words or deeds of endurance in the face of all odds attributed to famous men are suitable for our youth to see represented and to hear, such as: He smote his breast and chided thus his heart, Endure, my heart, for worse hast thou endured. Hom. Od. 20.17-18  By all means, he said. It is certain that we cannot allow our men to be acceptors of bribes or greedy for gain."
390e,"By no means. Then they must not chant: Gifts move the gods and gifts persuade dread kings. unknown  Nor should we approve Achilles’ attendant Phoenix as speaking fairly when he counselled him if he received gifts for it to defend the Achaeans, but without gifts not to lay aside his wrath;"
391a,but otherwise to refuse.
391b,"And how he was disobedient to the river, who was a god and was ready to fight with him, and again that he said of the locks of his hair, consecrated to her river Spercheius: This let me give to take with him my hair to the hero, Patroclus, Hom. Il. 23.151  who was a dead body, and that he did so we must believe. And again the trailings of Hector’s body round the grave of Patroclus and the slaughter of the living captives upon his pyre, all these we will affirm to be lies,"
391c,"nor will we suffer our youth to believe that Achilles, the son of a goddess and of Peleus the most chaste of men, grandson of Zeus, and himself bred under the care of the most sage Cheiron, was of so perturbed a spirit as to be affected with two contradictory maladies, the greed that becomes no free man and at the same time overweening arrogance towards gods and men."
391d,"and Peirithous, the son of Zeus, attempted such dreadful rapes, nor that any other child of a god and hero would have brought himself to accomplish the terrible and impious deeds that they now falsely relate of him. But we must constrain the poets either to deny that these are their deeds or that they are the children of gods, but not to make both statements or attempt to persuade our youth that the gods are the begetters of evil, and that heroes are no better than men."
391e,"For, as we were saying, such utterances are both impious and false. For we proved, I take it, that for evil to arise from gods is an impossibility."
392a,in our youth great laxity in turpitude.
392b,"and writers of prose speak wrongly about men in matters of greatest moment, saying that there are many examples of men who, though unjust, are happy, and of just men who are wretched, and that there is profit in injustice if it be concealed, and that justice is the other man’s good and your own loss; and I presume that we shall forbid them to say this sort of thing and command them to sing and fable the opposite. Don’t you think so?"
392c,"Rightly apprehended, he said. Then, as regards men that speech must be of this kind, that is a point that we will agree upon when we have discovered the nature of justice and the proof that it is profitable to its possessor whether he does or does not appear to be just. Most true, he replied. 
So this concludes the topic of tales. That of diction, I take it, is to be considered next. So we shall have completely examined both the matter and the manner of speech. And Adeimantus said, I don’t understand what   you mean by this. Well, said I, we must have you understand. Perhaps you will be more likely to apprehend it thus. Is not everything that is said by fabulists or poets a narration of past, present, or future things? What else could it be? he said. Do not they proceed either by pure narration or by a narrative that is effected through imitation, or by both? This too, he said, I still need to have made plainer. I seem to be a ridiculous and obscure teacher, I said; so like men who are unable to express themselves  I won’t try to speak in wholes and universals but will separate off a particular part and by the example of that try to show you my meaning."
392d,you mean by this.
392e,I won’t try to speak in wholes and universals but will separate off a particular part and by the example of that try to show you my meaning.
393a,"failing of his request, imprecated curses on the Achaeans in his prayers to the god?"
393b,"But what follows he delivers as if he were himself Chryses and tries as far as may be to make us feel that not Homer is the speaker, but the priest, an old man. And in this manner he has carried in nearly all the rest of his narration about affairs in Ilion, all that happened in Ithaca, and the entire Odyssey."
393c,"as if he were someone else, shall we not say that he then assimilates thereby his own diction is far as possible to that of the person whom he announces as about to speak?"
393d,"And lest you may say again that you don’t understand, I will explain to you how this would be done. If Homer, after telling us that Chryses came with the ransom of his daughter and as a suppliant of the Achaeans but chiefly of the kings, had gone on speaking not as if made or being Chryses but still as Homer, you are aware that it would not be imitation but narration, pure and simple. It would have been somewhat in this wise. I will state it without meter for I am not a poet:"
393e,"the priest came and prayed that to them the gods should grant to take Troy and come safely home, but that they should accept the ransom and release his daughter, out of reverence for the god;"
394a,"And the old man on hearing this was frightened and departed in silence, and having gone apart from the camp he prayed at length to Apollo, invoking the appellations of the god, and reminding him of and asking requital for any of his gifts that had found favor whether in the building of temples or the sacrifice of victims. In return for these things he prayed that the Achaeans should suffer for his tears by the god’s shafts. It is in this way, my dear fellow,"
394b,without imitation simple narration results.
394c,"as you remarked, tragedy and comedy; and another which employs the recital of the poet himself, best exemplified, I presume, in the dithyramb; and there is again that which employs both, in epic poetry and in many other places, if you apprehend me."
394d,"What I meant then was just this, that we must reach a decision whether we are to suffer our poets to narrate as imitators or in part as imitators and in part not, and what sort of things in each case, or not allow them to imitate at all. I divine, he said, that you are considering whether we shall admit tragedy and comedy into our city or not. Perhaps, said I, and perhaps even more than that. For I certainly do not yet know myself, but whithersoever the wind, as it were, of the argument blows, there lies our course."
394e,"Well said, he replied. This then, Adeimantus, is the point we must keep in view, do we wish our guardians to be good mimics or not? Or is this also a consequence of what we said before, that each one could practise well only one pursuit and not many, but if he attempted the latter, dabbling in many things, he would fail of distinction in all? Of course it is. And does not the same rule hold for imitation, that the same man is not able to imitate many things well as he can one? No, he is not."
395a,"the practice of any worthy pursuit with the imitation of many things and the quality of a mimic; since, unless I mistake, the same men cannot practise well at once even the two forms of imitation that appear most nearly akin, as the writing of tragedy and comedy? Did you not just now call these two imitations?"
395b,"neither can the same men be actors for tragedies and comedies—and all these are imitations, are they not?"
395c,"are to be expert craftsmen of civic liberty, and pursue nothing else that does not conduce to this, it would not be fitting for these to do nor yet to imitate anything else. But if they imitate they should from childhood up imitate what is appropriate to them—men, that is, who are brave, sober, pious, free and all things of that kind; but things unbecoming the free man they should neither do nor be clever at imitating, nor yet any other shameful thing, lest from the imitation"
395d,"they imbibe the reality. Or have you not observed that imitations, if continued from youth far into life, settle down into habits and (second) nature in the body, the speech, and the thought?"
395e,"and possessed by grief and lamentation—still less a woman that is sick, in love, or in labor."
396a,"and in other ways sinning against themselves and others in word and deed after the fashion of such men. And I take it they must not form the habit of likening themselves to madmen either in words nor yet in deeds. For while knowledge they must have both of mad and bad men and women, they must do and imitate nothing of this kind."
396b,connected therewith?
396c,"the really good and true man would narrate anything that he had to say, and another form unlike this to which the man of the opposite birth and breeding would cleave and which he would tell his story."
396d,"when he acts steadfastly and sensibly, and less and more reluctantly when he is upset by sickness or love or drunkenness or any other mishap. But when he comes to someone unworthy of himself, he will not wish to liken himself in earnest to one who is inferior, except in the few cases where he is doing something good, but will be embarrassed both because he is unpractised in the mimicry of such characters, and also because he shrinks in distaste from molding and fitting himself the types of baser things."
396e,"His mind disdains them, unless it be for jest."
397a,"the other kind speaker, the more debased he is the less will he shrink from imitating anything and everything. He will think nothing unworthy of himself, so that he will attempt, seriously and in the presence of many, to imitate all things, including those we just now mentioned—claps of thunder, and the noise of wind and hail and axles and pulleys, and the notes of trumpets and flutes and pan-pipes, and the sounds of all instruments, and the cries of dogs, sheep, and birds; and so his style will depend wholly on imitation   in voice and gesture, or will contain but a little of pure narration. That too follows of necessity, he said. These, then, said I, were the two types of diction of which I was aking. There are those two, he replied. Now does not one of the two involve slight variations, and if we assign a suitable pitch and rhythm to the diction, is not the result that the right speaker speaks almost on the same note and in one cadence—for the changes are slight— and similarly in a rhythm of nearly the same kind? Quite so. But what of the other type? Does it not require the opposite, every kind of pitch and all rhythms, if it too is to have appropriate expression, since it involves manifold forms of variation? Emphatically so. And do all poets and speakers hit upon one type or the other of diction or some blend which they combine of both?"
397b,"in voice and gesture, or will contain but a little of pure narration."
397c,and similarly in a rhythm of nearly the same kind?
397d,"They must, he said. What, then, said I, are we to do? Shall we admit all of these into the city, or one of the unmixed types, or the mixed type? If my vote prevails, he said, the unmixed imitator of the good. Nay, but the mixed type also is pleasing, Adeimantus, and far most pleasing to boys and their tutors and the great mob is the opposite of your choice. Most pleasing it is. But perhaps, said I, you would affirm it to be ill-suited   to our polity, because there is no twofold or manifold man among us, since every man does one thing. It is not suited. And is this not the reason why such a city is the only one in which we shall find the cobbler a cobbler and not a pilot in addition to his cobbling, and the farmer a farmer and not a judge added to his farming, and the soldier a soldier and not a money-maker in addition to his soldiery, and so of all the rest? True, he said."
397e,"to our polity, because there is no twofold or manifold man among us, since every man does one thing."
398a,"who was capable by his cunning of assuming every kind of shape and imitating all things should arrive in our city, bringing with himself the poems which he wished to exhibit, we should fall down and worship him as a holy and wondrous and delightful creature, but should say to him that there is no man of that kind among us in our city, nor is it lawful for such a man to arise among us, and we should send him away to another city, after pouring myrrh down over his head and crowning him with fillets of wool, but we ourselves, for our souls’ good, should continue to employ"
398b,"the more austere and less delightful poet and tale-teller, who would imitate the diction of the good man and would tell his tale in the patterns which we prescribed in the beginning, when we set out to educate our soldiers."
398c,"After this, then, said I, comes the manner of song and tunes? Obviously. And having gone thus far, could not everybody discover what we must say of their character in order to conform to what has already been said? I am afraid that everybody does not include me, laughed Glaucon; I cannot sufficiently divine off-hand what we ought to say, though I have a suspicion. You certainly, I presume, said I,"
398d,"have sufficient a understanding of this—that the song is composed of three things, the words, the tune, and the rhythm? Yes, said he, that much. And so far as it is words, it surely in no manner differs from words not sung in the requirement of conformity to the patterns and manner that we have prescribed? True, he said. And again, the music and the rhythm must follow the speech. Of course. But we said we did not require dirges and lamentations in words. We do not. What, then,  are the dirge-like modes of music? Tell me, for you are a musician. The mixed Lydian, he said, and the tense or higher Lydian, and similar modes. These, then, said I, we must do away with. For they are useless even to women who are to make the best of themselves, let alone to men. Assuredly. But again, drunkenness is a thing most unbefitting guardians, and so is softness and sloth. Yes. What, then, are the soft and convivial modes? There are certain Ionian and also Lydian modes 
 that are called lax."
