section,text
449a,"To such a city, then, or constitution I apply the terms good and right—and to the corresponding kind of man; but the others I describe as bad and mistaken, if this one is right, in respect both to the administration of states and to the formation of the character of the individual soul, they falling under four forms of badness. What are these, he said. And I was going on to enumerate them in what seemed to me the order of their evolution"
449b,"from one another, when Polemarchus—he sat at some little distance from Adeimantus—stretched forth his hand, and, taking hold of his garment from above by the shoulder, drew the other toward him and, leaning forward himself, spoke a few words in his ear, of which we overheard nothing else save only this, Shall we let him off, then, he said, or what shall we do? By no means, said Adeimantus, now raising his voice. What, pray, said I, is it that you are not letting off? You,"
449c,"said he. And for what reason, pray? said I. We think you are a slacker, he said, and are trying to cheat us out of a whole division, and that not the least, of the argument to avoid the trouble of expounding it, and expect to get away with it by observing thus lightly that, of course, in respect to women and children it is obvious to everybody that the possessions of friends will be in common. Well, isn’t that right, Adeimantus? I said. Yes, said he, but this word right, like other things, requires defining as to the way and manner of such a community. There might be many ways. Don’t, then, pass over the one   that you have in mind. For we have long been lying in wait for you, expecting that you would say something both of the procreation of children and their bringing up, and would explain the whole matter of the community of women and children of which you speak. We think that the right or wrong management of this makes a great difference, all the difference in the world, in the constitution of a state;"
449d,"that you have in mind. For we have long been lying in wait for you, expecting that you would say something both of the procreation of children and their bringing up, and would explain the whole matter of the community of women and children of which you speak. We think that the right or wrong management of this makes a great difference, all the difference in the world, in the constitution of a state;"
450a,"as you overheard, not to let you go till you have expounded all this as fully as you did the rest."
450b,"as I then set it forth! You don’t realize what a swarm of arguments you are stirring up by this demand, which I foresaw and evaded to save us no end of trouble."
450c,"in explaining to us what we ask or, your views as to how this communion of wives and children among our guardians will be managed, and also about the rearing of the children while still young in the interval between birth and formal schooling which is thought to be the most difficult part of education. Try, then, to tell us what must be the manner of it."
450d,"For which reason one as it were, shrinks from touching on the matter lest the theory be regarded as nothing but a wish-thought, my dear friend."
450e,For there is both safety and security in speaking the truth with knowledge about our greatest and dearest concerns to those who are both wise and dear.
451a,"a fearful and slippery venture. The fear is not of being laughed at, for that is childish, but, lest, missing the truth, I fall down and drag my friends with me in matters where it most imports not to stumble. So I salute Nemesis, Glaucon, in what I am about to say. For, indeed, I believe that involuntary homicide is a lesser fault than to mislead opinion about the honorable, the good, and the just. This is a risk that it is better to run with enemies"
451b,"than with friends, so that your encouragement is none."
451c,"But maybe this way is right, that after the completion of the male drama we should in turn go through with the female, especially since you are so urgent."
451d,"Let us preserve the analogy, then, and assign them a generation and breeding answering to it, and see if it suits us or not. In what way? he said. In this. Do we expect the females of watch-dogs to join in guarding what the males guard and to hunt with them and share all their pursuits or do we expect the females to stay indoors as being incapacitated by the bearing and the breeding of the whelps while the males toil and have all the care of the flock? They have all things in common,"
451e,"he replied, except that we treat the females as weaker and the males as stronger. Is it possible, then, said I, to employ any creature for the same ends as another if you do not assign it the same nurture and education? It is not possible."
452a,we must also teach them the same things.
452b,"together with the men, not only the young, but even the older, like old men in gymnasiums, when, though wrinkled and unpleasant to look at, they still persist in exercising?"
452c,"and culture, and most of all about the bearing of arms and the bestriding of horses."
452d,"and then with the Lacedaemonians, it was open to the wits of that time to make fun of these practices, don’t you think so?"
452e,that of folly and wrong or sets up any other standard of the beautiful as a mark for his seriousness than the good.
453a,"whether female human nature is capable of sharing with the male all tasks or none at all, or some but not others, and under which of these heads this business of war falls. Would not this be that best beginning which would naturally and proverbially lead to the best end?"
453b,"Nothing hinders, he said. Shall we say then in their behalf: There is no need, Socrates and Glaucon, of others disputing against you, for you yourselves at the beginning of the foundation of your city agreed that each one ought to mind as his own business the one thing for which he was fitted by nature? We did so agree, I think; certainly! Can it be denied then that there is by nature a great difference between men and women? Surely there is. Is it not fitting, then, that a different function should be appointed  for each corresponding to this difference of nature? Certainly. How, then, can you deny that you are mistaken and in contradiction with yourselves when you turn around and affirm that the men and the women ought to do the same thing, though their natures are so far apart? Can you surprise me with an answer to that question? Not easily on this sudden challenge, he replied: but I will and do beg you to lend your voice to the plea in our behalf, whatever it may be. These and many similar difficulties, Glaucon, said I,"
453c,for each corresponding to this difference of nature?
453d,"I foresaw and feared, and so shrank from touching on the law concerning the getting and breeding of women and children. It does not seem an easy thing, by heaven, he said, no, by heaven. No, it is not, said I; but the fact is that whether one tumbles into a little diving-pool or plump into the great sea he swims all the same. By all means. Then we, too, must swim and try to escape out of the sea of argument in the hope that either some dolphin will take us on its back or some other desperate rescue."
453e,"So it seems, he said. Come then, consider, said I, if we can find a way out. We did agree that different natures should have differing pursuits and that the nature of men and women differ. And yet now we affirm that these differing natures should have the same pursuits. That is the indictment. It is."
