section,text
484a,"So now, Glaucon, I said, our argument after winding a long and weary way has at last made clear to us who are the philosophers or lovers of wisdom and who are not. Yes, he said, a shorter way is perhaps not feasible. Apparently not, I said. I, at any rate, think that the matter would have been made still plainer if we had had nothing but this to speak of, and if there were not so many things left which our purpose of discerning the difference between the just and  the unjust life requires us to discuss. What, then, he said, comes next? What else, said I, but the next in order? Since the philosophers are those who are capable of apprehending that which is eternal and unchanging, while those who are incapable of this but lose themselves and wander amid the multiplicities of multifarious things, are not philosophers, which of the two kinds ought to be the leaders in a state? What, then, he said, would be a fair statement of the matter? Whichever, I said, appear competent to guard the laws and pursuits of society,   these we should establish as guardians. Right, he said. Is this, then, said I, clear, whether the guardian who is to keep watch over anything ought to be blind or keen of sight? Of course it is clear, he said. Do you think, then, that there is any appreciable difference between the blind and those who are veritably deprived of the knowledge of the veritable being of things, those who have no vivid pattern in their souls and so cannot, as painters look to their models, fix their eyes on the absolute truth, and always with reference to that ideal and in the exactest possible contemplation of it   establish in this world also the laws of the beautiful, the just and the good, when that is needful, or guard and preserve those that are established? No, by heaven, he said, there is not much difference. Shall we, then, appoint these blind souls as our guardians, rather than those who have learned to know the ideal reality of things and who do not fall short of the others in experience and are not second to them in any part of virtue? It would be strange indeed, he said, to choose others than the philosophers, provided they were not deficient in those other respects, for this very knowledge  of the ideal would perhaps be the greatest of superiorities."
484b,the unjust life requires us to discuss.
484c,these we should establish as guardians.
484d,"establish in this world also the laws of the beautiful, the just and the good, when that is needful, or guard and preserve those that are established?"
485a,of the ideal would perhaps be the greatest of superiorities.
485b,"that it is ever enamored of the kind of knowledge which reveals to them something of that essence which is eternal, and is not wandering between the two poles of generation and decay."
485c,must not have this further quality in their natures.
485d,"By no means. Then the true lover of knowledge must, from childhood up, be most of all a striver after truth in every form. By all means. But, again, we surely are aware that when in a man the desires incline strongly to any one thing, they are weakened for other things. It is as if the stream had been diverted into another channel. Surely. So, when a man’s desires have been taught to flow in the channel of learning and all that sort of thing, they will be concerned, I presume, with the pleasures of the soul in itself, and will be indifferent to those of which the body is the instrument, if the man is a true and not a sham philosopher."
485e,"That is quite necessary. Such a man will be temperate and by no means greedy for wealth; for the things for the sake of which money and great expenditure are eagerly sought others may take seriously, but not he. It is so."
486a,the philosophical from the unphilosophical nature.
