section,text
595a,"And truly, I said, many other considerations assure me that we were entirely right in our organization of the state, and especially, I think, in the matter of poetry. What about it? he said. In refusing to admit at all so much of it as is imitative; for that it is certainly not to be received is, I think,   still more plainly apparent now that we have distinguished the several parts of the soul. What do you mean? Why, between ourselves—for you will not betray me to the tragic poets and all other imitators—that kind of art seems to be a corruption of the mind of all listeners who do not possess, as an antidote a knowledge of its real nature. What is your idea in saying this? he said. I must speak out, I said, though a certain love and reverence for Homer that has possessed me from a boy would stay me from speaking.   For he appears to have been the first teacher and beginner of all these beauties of tragedy. Yet all the same we must not honor a man above truth, but, as I say, speak our minds. By all means, he said. Listen, then, or rather, answer my question. Ask it, he said. Could you tell me in general what imitation is? For neither do I myself quite apprehend what it would be at. It is likely, then, he said, that I should apprehend!"
595b,still more plainly apparent now that we have distinguished the several parts of the soul.
595c,"For he appears to have been the first teacher and beginner of all these beauties of tragedy. Yet all the same we must not honor a man above truth, but, as I say, speak our minds."
596a,that the dimmer vision sees things in advance of the keener.
596b,"for example, there are many couches and tables."
596c,what name you would give to this craftsman.
596d,"he said. Are you incredulous? said I. Tell me, do you deny altogether the possibility of such a craftsman, or do you admit that in a sense there could be such a creator of all these things, and in another sense not? Or do you not perceive that you yourself would be able to make all these things in a way? And in what way, I ask you, he said. There is no difficulty, said I, but it is something that the craftsman can make everywhere and quickly. You could do it most quickly if you should choose to take a mirror and carry it about everywhere.  You will speedily produce the sun and all the things in the sky, and speedily the earth and yourself and the other animals and implements and plants and all the objects of which we just now spoke. Yes, he said, the appearance of them, but not the reality and the truth. Excellent, said I, and you come to the aid of the argument opportunely. For I take it that the painter too belongs to this class of producers, does he not? Of course. But you will say, I suppose, that his creations are not real and true. And yet, after a fashion, the painter too makes a couch, does he not? Yes, he said, the appearance of one, he too."
596e,"You will speedily produce the sun and all the things in the sky, and speedily the earth and yourself and the other animals and implements and plants and all the objects of which we just now spoke."
597a,"What of the cabinet-maker? Were you not just now saying that he does not make the idea or form which we say is the real couch, the couch in itself, but only some particular couch? Yes, I was. Then if he does not make that which really is, he could not be said to make real being but something that resembles real being but is not that. But if anyone should say that being in the complete sense belongs to the work of the cabinet-maker or to that of any other handicraftsman, it seems that he would say what is not true. That would be the view, he said, of those who are versed in this kind of reasoning. We must not be surprised, then, if this too is only a dim adumbration in comparison with reality."
597b,"No, we must not. Shall we, then, use these very examples in our quest for the true nature of this imitator? If you please, he said. We get, then, these three couches, one, that in nature which, I take it, we would say that God produces, or who else? No one, I think. And then there was one which the carpenter made. Yes, he said. And one which the painter. Is not that so? So be it. The painter, then, the cabinet-maker, and God, there are these three presiding over three kinds of couches. Yes,three."
597c,"Now God,whether because he so willed or because some compulsion was laid upon him not to make more than one couch in nature, so wrought and created one only, the couch which really and in itself is. But two or more such were never created by God and never will come into being. How so? he said. Because, said I, if he should make only two, there would again appear one of which they both would possess the form or idea, and that would be the couch that really is in and of itself, and not the other two. Right, he said. God, then, I take it, knowing this and wishing  to be the real author of the couch that has real being and not of some particular couch, nor yet a particular cabinet-maker, produced it in nature unique. So it seems. Shall we, then, call him its true and natural begetter, or something of the kind? That would certainly be right, he said, since it is by and in nature that he has made this and all other things. And what of the carpenter? Shall we not call him the creator of a couch? Yes. Shall we also say that the painter is the creator and maker of that sort of thing? By no means. What will you say he is in relation to the couch?"
597d,"to be the real author of the couch that has real being and not of some particular couch, nor yet a particular cabinet-maker, produced it in nature unique."
597e,"This, said he, seems to me the most reasonable designation for him, that he is the imitator of the thing which those others produce. Very good, said I; the producer of the product three removes from nature you call the imitator? By all means, he said. This, then, will apply to the maker of tragedies also, if he is an imitator and is in his nature three removes from the king and the truth, as are all other imitators. It would seem so."
598a,But tell me now this about the painter. Do you think that what he tries to imitate is in each case that thing itself in nature or the works of the craftsmen?
598b,"Consider, then, this very point. To which is painting directed in every case, to the imitation of reality as it is or of appearance as it appears? Is it an imitation of a phantasm or of the truth? Of a phantasm, he said. Then the mimetic art is far removed from truth, and this, it seems, is the reason why it can produce everything, because it touches or lays hold of only a small part of the object and that a phantom; as, for example, a painter, we say, will paint us a cobbler, a carpenter, and other craftsmen,  though he himself has no expertness in any of these arts, but nevertheless if he were a good painter, by exhibiting at a distance his picture of a carpenter he would deceive children and foolish men, and make them believe it to be a real carpenter. Why not? But for all that, my friend, this, I take it, is what we ought to bear in mind in all such cases: When anyone reports to us of someone, that he has met a man who knows all the crafts and everything else that men severally know,  and that there is nothing that he does not know more exactly than anybody else, our tacit rejoinder must be that he is a simple fellow, who apparently has met some magician or sleight-of-hand man and imitator and has been deceived by him into the belief that he is all-wise, because of his own inability to put to the proof and distinguish knowledge, ignorance and imitation. Most true, he said. 
Then, said I, have we not next to scrutinize tragedy and its leader Homer, since some people tell us that these poets know all the arts   and all things human pertaining to virtue and vice, and all things divine? For the good poet, if he is to poetize things rightly, must, they argue, create with knowledge or else be unable to create."
598c,"though he himself has no expertness in any of these arts, but nevertheless if he were a good painter, by exhibiting at a distance his picture of a carpenter he would deceive children and foolish men, and make them believe it to be a real carpenter."
598d,"and that there is nothing that he does not know more exactly than anybody else, our tacit rejoinder must be that he is a simple fellow, who apparently has met some magician or sleight-of-hand man and imitator and has been deceived by him into the belief that he is all-wise, because of his own inability to put to the proof and distinguish knowledge, ignorance and imitation."
598e,"and all things human pertaining to virtue and vice, and all things divine? For the good poet, if he is to poetize things rightly, must, they argue, create with knowledge or else be unable to create."
599a,"they cannot perceive that these are three removes from reality, and easy to produce without knowledge of the truth. For it is phantoms, not realities, that they produce. Or is there something in their claim, and do good poets really know the things about which the multitude fancy they speak well?"
599b,of his life as the best thing he had?
599c,"or any other of the poets on other matters by asking them, if any one of them was a physician and not merely an imitator of a physician’s talk, what men any poet, old or new, is reported to have restored to health as Asclepius did, or what disciples of the medical art he left after him as Asclepius did his descendants; and let us dismiss the other arts and not question them about them; but concerning the greatest and finest things of which Homer undertakes to speak, wars and generalship"
599d,"and the administration of cities and the education of men, it surely is fair to question him and ask, Friend Homer, if you are not at the third remove from truth and reality in human excellence, being merely that creator of phantoms whom we defined as the imitator, but if you are even in the second place and were capable of knowing what pursuits make men better or worse in private or public life, tell us what city was better governed owing to you, even as Lacedaemon was because of Lycurgus, and many other cities   great and small because of other legislators. But what city credits you with having been a good legislator and having benefited them? Italy and Sicily say this of Charondas and we of Solon. But who says it of you? Will he be able to name any?"
599e,great and small because of other legislators. But what city credits you with having been a good legislator and having benefited them? Italy and Sicily say this of Charondas and we of Solon. But who says it of you?
600a,is there any tradition of a war in Homer’s time that was well conducted by his command or counsel?
600b,"and transmitted to posterity a certain Homeric way of life just as Pythagoras was himself especially honored for this, and his successors, even to this day, denominating a certain way of life the Pythagorean, are distinguished among their contemporaries?"
