section,text
419a,"καὶ ὁ Ἀδείμαντος ὑπολαβών, τί οὖν, ἔφη, ὦ Σώκρατες, ἀπολογήσῃ, ἐάν τίς σε φῇ μὴ πάνυ τι εὐδαίμονας ποιεῖν τούτους τοὺς ἄνδρας, καὶ ταῦτα διʼ ἑαυτούς, ὧν ἔστι μὲν ἡ πόλις τῇ ἀληθείᾳ, οἱ δὲ μηδὲν ἀπολαύουσιν ἀγαθὸν τῆς πόλεως, οἷον ἄλλοι ἀγρούς τε κεκτημένοι καὶ οἰκίας οἰκοδομούμενοι καλὰς καὶ μεγάλας, καὶ ταύταις πρέπουσαν κατασκευὴν κτώμενοι, καὶ θυσίας θεοῖς ἰδίας θύοντες, καὶ ξενοδοκοῦντες, καὶ δὴ καὶ ἃ νυνδὴ σὺ ἔλεγες, χρυσόν τε καὶ ἄργυρον κεκτημένοι καὶ πάντα ὅσα νομίζεται τοῖς μέλλουσιν μακαρίοις εἶναι;"
420a,"τῇ πόλει φαίνονται καθῆσθαι οὐδὲν ἄλλο ἢ φρουροῦντες.
ναί, ἦν δʼ ἐγώ, καὶ ταῦτά γε ἐπισίτιοι καὶ οὐδὲ μισθὸν πρὸς τοῖς σιτίοις λαμβάνοντες ὥσπερ οἱ ἄλλοι, ὥστε οὐδʼ ἂν ἀποδημῆσαι βούλωνται ἰδίᾳ, ἐξέσται αὐτοῖς, οὐδʼ ἑταίραις διδόναι, οὐδʼ ἀναλίσκειν ἄν ποι βούλωνται ἄλλοσε, οἷα δὴ οἱ εὐδαίμονες δοκοῦντες εἶναι ἀναλίσκουσι. ταῦτα καὶ ἄλλα τοιαῦτα συχνὰ τῆς κατηγορίας ἀπολείπεις.
ἀλλʼ, ἦ δʼ ὅς, ἔστω καὶ ταῦτα κατηγορημένα."
420b,"τί οὖν δὴ ἀπολογησόμεθα, φῄς;
ναί.
τὸν αὐτὸν οἶμον, ἦν δʼ ἐγώ, πορευόμενοι εὑρήσομεν, ὡς ἐγᾦμαι, ἃ λεκτέα. ἐροῦμεν γὰρ ὅτι θαυμαστὸν μὲν ἂν οὐδὲν εἴη εἰ καὶ οὗτοι οὕτως εὐδαιμονέστατοί εἰσιν, οὐ μὴν πρὸς τοῦτο βλέποντες τὴν πόλιν οἰκίζομεν, ὅπως ἕν τι ἡμῖν ἔθνος ἔσται διαφερόντως εὔδαιμον, ἀλλʼ ὅπως ὅτι μάλιστα ὅλη ἡ πόλις. ᾠήθημεν γὰρ ἐν τῇ τοιαύτῃ μάλιστα ἂν εὑρεῖν δικαιοσύνην καὶ αὖ ἐν τῇ κάκιστα οἰκουμένῃ"
420c,"ἀδικίαν, κατιδόντες δὲ κρῖναι ἂν ὃ πάλαι ζητοῦμεν. νῦν μὲν οὖν, ὡς οἰόμεθα, τὴν εὐδαίμονα πλάττομεν οὐκ ἀπολαβόντες ὀλίγους ἐν αὐτῇ τοιούτους τινὰς τιθέντες, ἀλλʼ ὅλην· αὐτίκα δὲ τὴν ἐναντίαν σκεψόμεθα. ὥσπερ οὖν ἂν εἰ ἡμᾶς ἀνδριάντα γράφοντας προσελθών τις ἔψεγε λέγων ὅτι οὐ τοῖς καλλίστοις τοῦ ζῴου τὰ κάλλιστα φάρμακα προστίθεμεν—οἱ γὰρ ὀφθαλμοὶ κάλλιστον ὂν οὐκ ὀστρείῳ ἐναληλιμμένοι εἶεν ἀλλὰ μέλανι—μετρίως ἂν ἐδοκοῦμεν"
420d,"πρὸς αὐτὸν ἀπολογεῖσθαι λέγοντες· ὦ θαυμάσιε, μὴ οἴου δεῖν ἡμᾶς οὕτω καλοὺς ὀφθαλμοὺς γράφειν, ὥστε μηδὲ ὀφθαλμοὺς φαίνεσθαι, μηδʼ αὖ τἆλλα μέρη, ἀλλʼ ἄθρει εἰ τὰ προσήκοντα ἑκάστοις ἀποδιδόντες τὸ ὅλον καλὸν ποιοῦμεν· καὶ δὴ καὶ νῦν μὴ ἀνάγκαζε ἡμᾶς τοιαύτην εὐδαιμονίαν τοῖς φύλαξι προσάπτειν, ἣ ἐκείνους πᾶν μᾶλλον  ἀπεργάσεται ἢ φύλακας. ἐπιστάμεθα γὰρ καὶ τοὺς γεωργοὺς ξυστίδας ἀμφιέσαντες καὶ χρυσὸν περιθέντες πρὸς ἡδονὴν ἐργάζεσθαι κελεύειν τὴν γῆν, καὶ τοὺς κεραμέας κατακλίναντες ἐπὶ δεξιὰ πρὸς τὸ πῦρ διαπίνοντάς τε καὶ εὐωχουμένους, τὸν τροχὸν παραθεμένους, ὅσον ἂν ἐπιθυμῶσι κεραμεύειν, καὶ τοὺς ἄλλους πάντας τοιούτῳ τρόπῳ μακαρίους ποιεῖν, ἵνα δὴ ὅλη ἡ πόλις εὐδαιμονῇ."
420e,"ἀπεργάσεται ἢ φύλακας. ἐπιστάμεθα γὰρ καὶ τοὺς γεωργοὺς ξυστίδας ἀμφιέσαντες καὶ χρυσὸν περιθέντες πρὸς ἡδονὴν ἐργάζεσθαι κελεύειν τὴν γῆν, καὶ τοὺς κεραμέας κατακλίναντες ἐπὶ δεξιὰ πρὸς τὸ πῦρ διαπίνοντάς τε καὶ εὐωχουμένους, τὸν τροχὸν παραθεμένους, ὅσον ἂν ἐπιθυμῶσι κεραμεύειν, καὶ τοὺς ἄλλους πάντας τοιούτῳ τρόπῳ μακαρίους ποιεῖν, ἵνα δὴ ὅλη ἡ πόλις εὐδαιμονῇ."
421a,"ἔσται οὔτε ὁ κεραμεὺς κεραμεὺς οὔτε ἄλλος οὐδεὶς οὐδὲν ἔχων σχῆμα ἐξ ὧν πόλις γίγνεται. ἀλλὰ τῶν μὲν ἄλλων ἐλάττων λόγος· νευρορράφοι γὰρ φαῦλοι γενόμενοι καὶ διαφθαρέντες καὶ προσποιησάμενοι εἶναι μὴ ὄντες πόλει οὐδὲν δεινόν, φύλακες δὲ νόμων τε καὶ πόλεως μὴ ὄντες ἀλλὰ δοκοῦντες ὁρᾷς δὴ ὅτι πᾶσαν ἄρδην πόλιν ἀπολλύασιν, καὶ αὖ τοῦ εὖ οἰκεῖν καὶ εὐδαιμονεῖν μόνοι τὸν καιρὸν ἔχουσιν."
421b,"ποιοῦμεν ἥκιστα κακούργους τῆς πόλεως, ὁ δʼ ἐκεῖνο λέγων γεωργούς τινας καὶ ὥσπερ ἐν πανηγύρει ἀλλʼ οὐκ ἐν πόλει ἑστιάτορας εὐδαίμονας, ἄλλο ἄν τι ἢ πόλιν λέγοι. σκεπτέον οὖν πότερον πρὸς τοῦτο βλέποντες τοὺς φύλακας καθιστῶμεν, ὅπως ὅτι πλείστη αὐτοῖς εὐδαιμονία ἐγγενήσεται, ἢ τοῦτο μὲν εἰς τὴν πόλιν ὅλην βλέποντας θεατέον εἰ ἐκείνῃ ἐγγίγνεται, τοὺς δʼ ἐπικούρους τούτους καὶ τοὺς"
421c,"φύλακας ἐκεῖνο ἀναγκαστέον ποιεῖν καὶ πειστέον, ὅπως ὅτι ἄριστοι δημιουργοὶ τοῦ ἑαυτῶν ἔργου ἔσονται, καὶ τοὺς ἄλλους ἅπαντας ὡσαύτως, καὶ οὕτω συμπάσης τῆς πόλεως αὐξανομένης καὶ καλῶς οἰκιζομένης ἐατέον ὅπως ἑκάστοις τοῖς ἔθνεσιν ἡ φύσις ἀποδίδωσι τοῦ μεταλαμβάνειν εὐδαιμονίας.
ἀλλʼ, ἦ δʼ ὅς, καλῶς μοι δοκεῖς λέγειν.
ἆρʼ οὖν, ἦν δʼ ἐγώ, καὶ τὸ τούτου ἀδελφὸν δόξω σοι μετρίως λέγειν;
τί μάλιστα;"
421d,"τοὺς ἄλλους αὖ δημιουργοὺς σκόπει εἰ τάδε διαφθείρει, ὥστε καὶ κακοὺς γίγνεσθαι.
τὰ ποῖα δὴ ταῦτα;
πλοῦτος, ἦν δʼ ἐγώ, καὶ πενία.
πῶς δή;
ὧδε. πλουτήσας χυτρεὺς δοκεῖ σοι ἔτʼ ἐθελήσειν ἐπιμελεῖσθαι τῆς τέχνης;
οὐδαμῶς, ἔφη.
Ἀργὸς δὲ καὶ ἀμελὴς γενήσεται μᾶλλον αὐτὸς αὑτοῦ;
πολύ γε.
οὐκοῦν κακίων χυτρεὺς γίγνεται;
καὶ τοῦτο, ἔφη, πολύ.
καὶ μὴν καὶ ὄργανά γε μὴ ἔχων παρέχεσθαι ὑπὸ πενίας ἤ τι ἄλλο τῶν εἰς τὴν τέχνην τά τε ἔργα πονηρότερα"
