section,text
484a,"οἱ μὲν δὴ φιλόσοφοι, ἦν δʼ ἐγώ, ὦ Γλαύκων, καὶ οἱ μὴ διὰ μακροῦ τινος διεξελθόντες λόγου μόγις πως ἀνεφάνησαν οἵ εἰσιν ἑκάτεροι.
ἴσως γάρ, ἔφη, διὰ βραχέος οὐ ῥᾴδιον.
οὐ φαίνεται, εἶπον· ἐμοὶ γοῦν ἔτι δοκεῖ ἂν βελτιόνως φανῆναι εἰ περὶ τούτου μόνου ἔδει ῥηθῆναι, καὶ μὴ πολλὰ τὰ λοιπὰ διελθεῖν μέλλοντι κατόψεσθαι τί διαφέρει βίος"
484b,"δίκαιος ἀδίκου.
τί οὖν, ἔφη, τὸ μετὰ τοῦτο ἡμῖν;
τί δʼ ἄλλο, ἦν δʼ ἐγώ, ἢ τὸ ἑξῆς; ἐπειδὴ φιλόσοφοι μὲν οἱ τοῦ ἀεὶ κατὰ ταὐτὰ ὡσαύτως ἔχοντος δυνάμενοι ἐφάπτεσθαι, οἱ δὲ μὴ ἀλλʼ ἐν πολλοῖς καὶ παντοίως ἴσχουσιν πλανώμενοι οὐ φιλόσοφοι, ποτέρους δὴ δεῖ πόλεως ἡγεμόνας εἶναι;
πῶς οὖν λέγοντες ἂν αὐτό, ἔφη, μετρίως λέγοιμεν;
ὁπότεροι ἄν, ἦν δʼ ἐγώ, δυνατοὶ φαίνωνται φυλάξαι νόμους τε καὶ ἐπιτηδεύματα πόλεων, τούτους καθιστάναι"
484c,"φύλακας.
ὀρθῶς, ἔφη.
τόδε δέ, ἦν δʼ ἐγώ, ἆρα δῆλον, εἴτε τυφλὸν εἴτε ὀξὺ ὁρῶντα χρὴ φύλακα τηρεῖν ὁτιοῦν;
καὶ πῶς, ἔφη, οὐ δῆλον;
ἦ οὖν δοκοῦσί τι τυφλῶν διαφέρειν οἱ τῷ ὄντι τοῦ ὄντος ἑκάστου ἐστερημένοι τῆς γνώσεως, καὶ μηδὲν ἐναργὲς ἐν τῇ ψυχῇ ἔχοντες παράδειγμα, μηδὲ δυνάμενοι ὥσπερ γραφῆς εἰς τὸ ἀληθέστατον ἀποβλέποντες κἀκεῖσε ἀεὶ ἀναφέροντές τε"
484d,"καὶ θεώμενοι ὡς οἷόν τε ἀκριβέστατα, οὕτω δὴ καὶ τὰ ἐνθάδε νόμιμα καλῶν τε πέρι καὶ δικαίων καὶ ἀγαθῶν τίθεσθαί τε, ἐὰν δέῃ τίθεσθαι, καὶ τὰ κείμενα φυλάττοντες σῴζειν;
οὐ μὰ τὸν Δία, ἦ δʼ ὅς, οὐ πολύ τι διαφέρει.
τούτους οὖν μᾶλλον φύλακας στησόμεθα ἢ τοὺς ἐγνωκότας μὲν ἕκαστον τὸ ὄν, ἐμπειρίᾳ δὲ μηδὲν ἐκείνων ἐλλείποντας μηδʼ ἐν ἄλλῳ μηδενὶ μέρει ἀρετῆς ὑστεροῦντας;
ἄτοπον μεντἄν, ἔφη, εἴη ἄλλους αἱρεῖσθαι, εἴ γε τἆλλα μὴ ἐλλείποιντο· τούτῳ γὰρ αὐτῷ σχεδόν τι τῷ μεγίστῳ ἂν προέχοιεν."
485a,"οὐκοῦν τοῦτο δὴ λέγωμεν, τίνα τρόπον οἷοί τʼ ἔσονται οἱ αὐτοὶ κἀκεῖνα καὶ ταῦτα ἔχειν;
πάνυ μὲν οὖν.
ὃ τοίνυν ἀρχόμενοι τούτου τοῦ λόγου ἐλέγομεν, τὴν φύσιν αὐτῶν πρῶτον δεῖ καταμαθεῖν· καὶ οἶμαι, ἐὰν ἐκείνην ἱκανῶς ὁμολογήσωμεν, ὁμολογήσειν καὶ ὅτι οἷοί τε ταῦτα ἔχειν οἱ αὐτοί, ὅτι τε οὐκ ἄλλους πόλεων ἡγεμόνας δεῖ εἶναι ἢ τούτους.
πῶς;
τοῦτο μὲν δὴ τῶν φιλοσόφων φύσεων πέρι ὡμολογήσθω"
485b,"ἡμῖν ὅτι μαθήματός γε ἀεὶ ἐρῶσιν ὃ ἂν αὐτοῖς δηλοῖ ἐκείνης τῆς οὐσίας τῆς ἀεὶ οὔσης καὶ μὴ πλανωμένης ὑπὸ γενέσεως καὶ φθορᾶς.
ὡμολογήσθω.
καὶ μήν, ἦν δʼ ἐγώ, καὶ ὅτι πάσης αὐτῆς, καὶ οὔτε σμικροῦ οὔτε μείζονος οὔτε τιμιωτέρου οὔτε ἀτιμοτέρου μέρους ἑκόντες ἀφίενται, ὥσπερ ἐν τοῖς πρόσθεν περί τε τῶν φιλοτίμων καὶ ἐρωτικῶν διήλθομεν.
ὀρθῶς, ἔφη, λέγεις.
τόδε τοίνυν μετὰ τοῦτο σκόπει εἰ ἀνάγκη ἔχειν πρὸς"
485c,"τούτῳ ἐν τῇ φύσει οἳ ἂν μέλλωσιν ἔσεσθαι οἵους ἐλέγομεν.
τὸ ποῖον;
τὴν ἀψεύδειαν καὶ τὸ ἑκόντας εἶναι μηδαμῇ προσδέχεσθαι τὸ ψεῦδος ἀλλὰ μισεῖν, τὴν δʼ ἀλήθειαν στέργειν.
εἰκός γʼ, ἔφη.
οὐ μόνον γε, ὦ φίλε, εἰκός, ἀλλὰ καὶ πᾶσα ἀνάγκη τὸν ἐρωτικῶς του φύσει ἔχοντα πᾶν τὸ συγγενές τε καὶ οἰκεῖον τῶν παιδικῶν ἀγαπᾶν.
ὀρθῶς, ἔφη.
ἦ οὖν οἰκειότερον σοφίᾳ τι ἀληθείας ἂν εὕροις;
καὶ πῶς; ἦ δʼ ὅς.
ἦ οὖν δυνατὸν εἶναι τὴν αὐτὴν φύσιν φιλόσοφόν τε καὶ"
485d,"φιλοψευδῆ;
οὐδαμῶς γε.
τὸν ἄρα τῷ ὄντι φιλομαθῆ πάσης ἀληθείας δεῖ εὐθὺς ἐκ νέου ὅτι μάλιστα ὀρέγεσθαι.
παντελῶς γε.
ἀλλὰ μὴν ὅτῳ γε εἰς ἕν τι αἱ ἐπιθυμίαι σφόδρα ῥέπουσιν, ἴσμεν που ὅτι εἰς τἆλλα τούτῳ ἀσθενέστεραι, ὥσπερ ῥεῦμα ἐκεῖσε ἀπωχετευμένον.
τί μήν;
ὧι δὴ πρὸς τὰ μαθήματα καὶ πᾶν τὸ τοιοῦτον ἐρρυήκασιν, περὶ τὴν τῆς ψυχῆς οἶμαι ἡδονὴν αὐτῆς καθʼ αὑτὴν εἶεν ἄν, τὰς δὲ διὰ τοῦ σώματος ἐκλείποιεν, εἰ μὴ πεπλασμένως ἀλλʼ"
485e,"ἀληθῶς φιλόσοφός τις εἴη.
μεγάλη ἀνάγκη.
σώφρων μὴν ὅ γε τοιοῦτος καὶ οὐδαμῇ φιλοχρήματος· ὧν γὰρ ἕνεκα χρήματα μετὰ πολλῆς δαπάνης σπουδάζεται, ἄλλῳ τινὶ μᾶλλον ἢ τούτῳ προσήκει σπουδάζειν.
οὕτω."
486a,"καὶ μήν που καὶ τόδε δεῖ σκοπεῖν, ὅταν κρίνειν μέλλῃς φύσιν φιλόσοφόν τε καὶ μή.
τὸ ποῖον;
μή σε λάθῃ μετέχουσα ἀνελευθερίας· ἐναντιώτατον γάρ που σμικρολογία ψυχῇ μελλούσῃ τοῦ ὅλου καὶ παντὸς ἀεὶ ἐπορέξεσθαι θείου τε καὶ ἀνθρωπίνου.
ἀληθέστατα, ἔφη.
ἧι οὖν ὑπάρχει διανοίᾳ μεγαλοπρέπεια καὶ θεωρία παντὸς μὲν χρόνου, πάσης δὲ οὐσίας, οἷόν τε οἴει τούτῳ μέγα τι δοκεῖν εἶναι τὸν ἀνθρώπινον βίον;
ἀδύνατον, ἦ δʼ ὅς."
