section,text
357a,"ἐγὼ μὲν οὖν ταῦτα εἰπὼν ᾤμην λόγου ἀπηλλάχθαι· τὸ δʼ ἦν ἄρα, ὡς ἔοικε, προοίμιον. ὁ γὰρ Γλαύκων ἀεί τε δὴ ἀνδρειότατος ὢν τυγχάνει πρὸς ἅπαντα, καὶ δὴ καὶ τότε τοῦ Θρασυμάχου τὴν ἀπόρρησιν οὐκ ἀπεδέξατο, ἀλλʼ ἔφη· ὦ Σώκρατες, πότερον ἡμᾶς βούλει δοκεῖν πεπεικέναι ἢ ὡς"
357b,"ἀληθῶς πεῖσαι ὅτι παντὶ τρόπῳ ἄμεινόν ἐστιν δίκαιον εἶναι ἢ ἄδικον;
ὡς ἀληθῶς, εἶπον, ἔγωγʼ ἂν ἑλοίμην, εἰ ἐπʼ ἐμοὶ εἴη.
οὐ τοίνυν, ἔφη, ποιεῖς ὃ βούλει. λέγε γάρ μοι· ἆρά σοι δοκεῖ τοιόνδε τι εἶναι ἀγαθόν, ὃ δεξαίμεθʼ ἂν ἔχειν οὐ τῶν ἀποβαινόντων ἐφιέμενοι, ἀλλʼ αὐτὸ αὑτοῦ ἕνεκα ἀσπαζόμενοι, οἷον τὸ χαίρειν καὶ αἱ ἡδοναὶ ὅσαι ἀβλαβεῖς καὶ μηδὲν εἰς τὸν ἔπειτα χρόνον διὰ ταύτας γίγνεται ἄλλο ἢ χαίρειν ἔχοντα;
ἔμοιγε, ἦν δʼ ἐγώ, δοκεῖ τι εἶναι τοιοῦτον."
357c,"τί δέ; ὃ αὐτό τε αὑτοῦ χάριν ἀγαπῶμεν καὶ τῶν ἀπʼ αὐτοῦ γιγνομένων, οἷον αὖ τὸ φρονεῖν καὶ τὸ ὁρᾶν καὶ τὸ ὑγιαίνειν; τὰ γὰρ τοιαῦτά που διʼ ἀμφότερα ἀσπαζόμεθα.
ναί, εἶπον.
τρίτον δὲ ὁρᾷς τι, ἔφη, εἶδος ἀγαθοῦ, ἐν ᾧ τὸ γυμνάζεσθαι καὶ τὸ κάμνοντα ἰατρεύεσθαι καὶ ἰάτρευσίς τε καὶ ὁ ἄλλος χρηματισμός; ταῦτα γὰρ ἐπίπονα φαῖμεν ἄν, ὠφελεῖν δὲ ἡμᾶς, καὶ αὐτὰ μὲν ἑαυτῶν ἕνεκα οὐκ ἂν δεξαίμεθα ἔχειν,"
357d,"τῶν δὲ μισθῶν τε χάριν καὶ τῶν ἄλλων ὅσα γίγνεται ἀπʼ αὐτῶν.
ἔστιν γὰρ οὖν, ἔφην, καὶ τοῦτο τρίτον. ἀλλὰ τί δή;
ἐν ποίῳ, ἔφη, τούτων τὴν δικαιοσύνην τιθεῖς;"
358a,"ἐγὼ μὲν οἶμαι, ἦν δʼ ἐγώ, ἐν τῷ καλλίστῳ, ὃ καὶ διʼ αὑτὸ καὶ διὰ τὰ γιγνόμενα ἀπʼ αὐτοῦ ἀγαπητέον τῷ μέλλοντι μακαρίῳ ἔσεσθαι.
οὐ τοίνυν δοκεῖ, ἔφη, τοῖς πολλοῖς, ἀλλὰ τοῦ ἐπιπόνου εἴδους, ὃ μισθῶν θʼ ἕνεκα καὶ εὐδοκιμήσεων διὰ δόξαν ἐπιτηδευτέον, αὐτὸ δὲ διʼ αὑτὸ φευκτέον ὡς ὂν χαλεπόν.
οἶδα, ἦν δʼ ἐγώ, ὅτι δοκεῖ οὕτω καὶ πάλαι ὑπὸ Θρασυμάχου ὡς τοιοῦτον ὂν ψέγεται, ἀδικία δʼ ἐπαινεῖται· ἀλλʼ ἐγώ τις, ὡς ἔοικε, δυσμαθής."
358b,"ἴθι δή, ἔφη, ἄκουσον καὶ ἐμοῦ, ἐάν σοι ἔτι ταὐτὰ δοκῇ. Θρασύμαχος γάρ μοι φαίνεται πρῳαίτερον τοῦ δέοντος ὑπὸ σοῦ ὥσπερ ὄφις κηληθῆναι, ἐμοὶ δὲ οὔπω κατὰ νοῦν ἡ ἀπόδειξις γέγονεν περὶ ἑκατέρου· ἐπιθυμῶ γὰρ ἀκοῦσαι τί τʼ ἔστιν ἑκάτερον καὶ τίνα ἔχει δύναμιν αὐτὸ καθʼ αὑτὸ ἐνὸν ἐν τῇ ψυχῇ, τοὺς δὲ μισθοὺς καὶ τὰ γιγνόμενα ἀπʼ αὐτῶν ἐᾶσαι χαίρειν. οὑτωσὶ οὖν ποιήσω, ἐὰν καὶ σοὶ δοκῇ· ἐπανανεώσομαι"
358c,"τὸν Θρασυμάχου λόγον, καὶ πρῶτον μὲν ἐρῶ δικαιοσύνην οἷον εἶναί φασιν καὶ ὅθεν γεγονέναι, δεύτερον δὲ ὅτι πάντες αὐτὸ οἱ ἐπιτηδεύοντες ἄκοντες ἐπιτηδεύουσιν ὡς ἀναγκαῖον ἀλλʼ οὐχ ὡς ἀγαθόν, τρίτον δὲ ὅτι εἰκότως αὐτὸ δρῶσι· πολὺ γὰρ ἀμείνων ἄρα ὁ τοῦ ἀδίκου ἢ ὁ τοῦ δικαίου βίος, ὡς λέγουσιν. ἐπεὶ ἔμοιγε, ὦ Σώκρατες, οὔ τι δοκεῖ οὕτως· ἀπορῶ μέντοι διατεθρυλημένος τὰ ὦτα ἀκούων Θρασυμάχου καὶ μυρίων ἄλλων, τὸν δὲ ὑπὲρ τῆς δικαιοσύνης λόγον, ὡς"
358d,"ἄμεινον ἀδικίας, οὐδενός πω ἀκήκοα ὡς βούλομαι—βούλομαι δὲ αὐτὸ καθʼ αὑτὸ ἐγκωμιαζόμενον ἀκοῦσαι—μάλιστα δʼ οἶμαι ἂν σοῦ πυθέσθαι. διὸ κατατείνας ἐρῶ τὸν ἄδικον βίον ἐπαινῶν, εἰπὼν δὲ ἐνδείξομαί σοι ὃν τρόπον αὖ βούλομαι καὶ σοῦ ἀκούειν ἀδικίαν μὲν ψέγοντος, δικαιοσύνην δὲ ἐπαινοῦντος. ἀλλʼ ὅρα εἴ σοι βουλομένῳ ἃ λέγω.
πάντων μάλιστα, ἦν δʼ ἐγώ· περὶ γὰρ τίνος ἂν μᾶλλον πολλάκις τις νοῦν ἔχων χαίροι λέγων καὶ ἀκούων;"
358e,"κάλλιστα, ἔφη, λέγεις· καὶ ὃ πρῶτον ἔφην ἐρεῖν, περὶ τούτου ἄκουε, τί ὄν τε καὶ ὅθεν γέγονε δικαιοσύνη."
359a,"μὲν ἐκφεύγειν τὸ δὲ αἱρεῖν δοκεῖ λυσιτελεῖν συνθέσθαι ἀλλήλοις μήτʼ ἀδικεῖν μήτʼ ἀδικεῖσθαι· καὶ ἐντεῦθεν δὴ ἄρξασθαι νόμους τίθεσθαι καὶ συνθήκας αὑτῶν, καὶ ὀνομάσαι τὸ ὑπὸ τοῦ νόμου ἐπίταγμα νόμιμόν τε καὶ δίκαιον· καὶ εἶναι δὴ ταύτην γένεσίν τε καὶ οὐσίαν δικαιοσύνης, μεταξὺ οὖσαν τοῦ μὲν ἀρίστου ὄντος, ἐὰν ἀδικῶν μὴ διδῷ δίκην, τοῦ δὲ κακίστου, ἐὰν ἀδικούμενος τιμωρεῖσθαι ἀδύνατος ᾖ· τὸ δὲ δίκαιον ἐν μέσῳ ὂν τούτων ἀμφοτέρων ἀγαπᾶσθαι οὐχ ὡς"
