section,text
571a,"αὐτὸς δὴ λοιπός, ἦν δʼ ἐγώ, ὁ τυραννικὸς ἀνὴρ σκέψασθαι, πῶς τε μεθίσταται ἐκ δημοκρατικοῦ, γενόμενός τε ποῖός τίς ἐστιν καὶ τίνα τρόπον ζῇ, ἄθλιον ἢ μακάριον.
λοιπὸς γὰρ οὖν ἔτι οὗτος, ἔφη.
οἶσθʼ οὖν, ἦν δʼ ἐγώ, ὃ ποθῶ ἔτι;
τὸ ποῖον;
τὸ τῶν ἐπιθυμιῶν, οἷαί τε καὶ ὅσαι εἰσίν, οὔ μοι δοκοῦμεν ἱκανῶς διῃρῆσθαι. τούτου δὴ ἐνδεῶς ἔχοντος, ἀσαφεστέρα"
571b,"ἔσται ἡ ζήτησις οὗ ζητοῦμεν.
οὐκοῦν, ἦ δʼ ὅς, ἔτʼ ἐν καλῷ;
πάνυ μὲν οὖν· καὶ σκόπει γε ὃ ἐν αὐταῖς βούλομαι ἰδεῖν. ἔστιν δὲ τόδε. τῶν μὴ ἀναγκαίων ἡδονῶν τε καὶ ἐπιθυμιῶν δοκοῦσί τινές μοι εἶναι παράνομοι, αἳ κινδυνεύουσι μὲν ἐγγίγνεσθαι παντί, κολαζόμεναι δὲ ὑπό τε τῶν νόμων καὶ τῶν βελτιόνων ἐπιθυμιῶν μετὰ λόγου ἐνίων μὲν ἀνθρώπων ἢ παντάπασιν ἀπαλλάττεσθαι ἢ ὀλίγαι λείπεσθαι καὶ ἀσθενεῖς,"
571c,"τῶν δὲ ἰσχυρότεραι καὶ πλείους.
λέγεις δὲ καὶ τίνας, ἔφη, ταύτας;
τὰς περὶ τὸν ὕπνον, ἦν δʼ ἐγώ, ἐγειρομένας, ὅταν τὸ μὲν ἄλλο τῆς ψυχῆς εὕδῃ, ὅσον λογιστικὸν καὶ ἥμερον καὶ ἄρχον ἐκείνου, τὸ δὲ θηριῶδές τε καὶ ἄγριον, ἢ σίτων ἢ μέθης πλησθέν, σκιρτᾷ τε καὶ ἀπωσάμενον τὸν ὕπνον ζητῇ ἰέναι καὶ ἀποπιμπλάναι τὰ αὑτοῦ ἤθη· οἶσθʼ ὅτι πάντα ἐν τῷ τοιούτῳ τολμᾷ ποιεῖν, ὡς ἀπὸ πάσης λελυμένον τε καὶ ἀπηλλαγμένον αἰσχύνης καὶ φρονήσεως. μητρί τε γὰρ ἐπιχειρεῖν"
571d,"μείγνυσθαι, ὡς οἴεται, οὐδὲν ὀκνεῖ, ἄλλῳ τε ὁτῳοῦν ἀνθρώπων καὶ θεῶν καὶ θηρίων, μιαιφονεῖν τε ὁτιοῦν, βρώματός τε ἀπέχεσθαι μηδενός· καὶ ἑνὶ λόγῳ οὔτε ἀνοίας οὐδὲν ἐλλείπει οὔτʼ ἀναισχυντίας.
ἀληθέστατα, ἔφη, λέγεις.
ὅταν δέ γε οἶμαι ὑγιεινῶς τις ἔχῃ αὐτὸς αὑτοῦ καὶ σωφρόνως, καὶ εἰς τὸν ὕπνον ἴῃ τὸ λογιστικὸν μὲν ἐγείρας ἑαυτοῦ καὶ ἑστιάσας λόγων καλῶν καὶ σκέψεων, εἰς σύννοιαν"
571e,"αὐτὸς αὑτῷ ἀφικόμενος, τὸ ἐπιθυμητικὸν δὲ μήτε ἐνδείᾳ δοὺς μήτε πλησμονῇ, ὅπως ἂν κοιμηθῇ καὶ μὴ παρέχῃ θόρυβον"
572a,"τῷ βελτίστῳ χαῖρον ἢ λυπούμενον, ἀλλʼ ἐᾷ αὐτὸ καθʼ αὑτὸ μόνον καθαρὸν σκοπεῖν καὶ ὀρέγεσθαί του αἰσθάνεσθαι ὃ μὴ οἶδεν, ἤ τι τῶν γεγονότων ἢ ὄντων ἢ καὶ μελλόντων,"
572b,"φαντάζονται τῶν ἐνυπνίων.
παντελῶς μὲν οὖν, ἔφη, οἶμαι οὕτως.
ταῦτα μὲν τοίνυν ἐπὶ πλέον ἐξήχθημεν εἰπεῖν· ὃ δὲ βουλόμεθα γνῶναι τόδʼ ἐστίν, ὡς ἄρα δεινόν τι καὶ ἄγριον καὶ ἄνομον ἐπιθυμιῶν εἶδος ἑκάστῳ ἔνεστι, καὶ πάνυ δοκοῦσιν ἡμῶν ἐνίοις μετρίοις εἶναι· τοῦτο δὲ ἄρα ἐν τοῖς ὕπνοις γίγνεται ἔνδηλον. εἰ οὖν τι δοκῶ λέγειν καὶ συγχωρεῖς, ἄθρει.
ἀλλὰ συγχωρῶ.
τὸν τοίνυν δημοτικὸν ἀναμνήσθητι οἷον ἔφαμεν εἶναι."
572c,"ἦν δέ που γεγονὼς ἐκ νέου ὑπὸ φειδωλῷ πατρὶ τεθραμμένος, τὰς χρηματιστικὰς ἐπιθυμίας τιμῶντι μόνας, τὰς δὲ μὴ ἀναγκαίους ἀλλὰ παιδιᾶς τε καὶ καλλωπισμοῦ ἕνεκα γιγνομένας ἀτιμάζοντι. ἦ γάρ;
ναί.
συγγενόμενος δὲ κομψοτέροις ἀνδράσι καὶ μεστοῖς ὧν ἄρτι διήλθομεν ἐπιθυμιῶν, ὁρμήσας εἰς ὕβριν τε πᾶσαν καὶ τὸ ἐκείνων εἶδος μίσει τῆς τοῦ πατρὸς φειδωλίας, φύσιν δὲ τῶν διαφθειρόντων βελτίω ἔχων, ἀγόμενος ἀμφοτέρωσε"
572d,"κατέστη εἰς μέσον ἀμφοῖν τοῖν τρόποιν, καὶ μετρίως δή, ὡς ᾤετο, ἑκάστων ἀπολαύων οὔτε ἀνελεύθερον οὔτε παράνομον βίον ζῇ, δημοτικὸς ἐξ ὀλιγαρχικοῦ γεγονώς.
ἦν γάρ, ἔφη, καὶ ἔστιν αὕτη ἡ δόξα περὶ τὸν τοιοῦτον.
θὲς τοίνυν, ἦν δʼ ἐγώ, πάλιν τοῦ τοιούτου ἤδη πρεσβυτέρου γεγονότος νέον ὑὸν ἐν τοῖς τούτου αὖ ἤθεσιν τεθραμμένον.
τίθημι.
τίθει τοίνυν καὶ τὰ αὐτὰ ἐκεῖνα περὶ αὐτὸν γιγνόμενα ἅπερ καὶ περὶ τὸν πατέρα αὐτοῦ, ἀγόμενόν τε εἰς πᾶσαν"
572e,"παρανομίαν, ὀνομαζομένην δʼ ὑπὸ τῶν ἀγόντων ἐλευθερίαν ἅπασαν, βοηθοῦντά τε ταῖς ἐν μέσῳ ταύταις ἐπιθυμίαις πατέρα τε καὶ τοὺς ἄλλους οἰκείους, τοὺς δʼ αὖ παραβοηθοῦντας·"
