section,text
514a,"μετὰ ταῦτα δή, εἶπον, ἀπείκασον τοιούτῳ πάθει τὴν ἡμετέραν φύσιν παιδείας τε πέρι καὶ ἀπαιδευσίας. ἰδὲ γὰρ ἀνθρώπους οἷον ἐν καταγείῳ οἰκήσει σπηλαιώδει, ἀναπεπταμένην πρὸς τὸ φῶς τὴν εἴσοδον ἐχούσῃ μακρὰν παρὰ πᾶν τὸ σπήλαιον, ἐν ταύτῃ ἐκ παίδων ὄντας ἐν δεσμοῖς καὶ τὰ σκέλη καὶ τοὺς αὐχένας, ὥστε μένειν τε αὐτοὺς εἴς τε τὸ"
514b,"πρόσθεν μόνον ὁρᾶν, κύκλῳ δὲ τὰς κεφαλὰς ὑπὸ τοῦ δεσμοῦ ἀδυνάτους περιάγειν, φῶς δὲ αὐτοῖς πυρὸς ἄνωθεν καὶ πόρρωθεν καόμενον ὄπισθεν αὐτῶν, μεταξὺ δὲ τοῦ πυρὸς καὶ τῶν δεσμωτῶν ἐπάνω ὁδόν, παρʼ ἣν ἰδὲ τειχίον παρῳκοδομημένον, ὥσπερ τοῖς θαυματοποιοῖς πρὸ τῶν ἀνθρώπων πρόκειται τὰ παραφράγματα, ὑπὲρ ὧν τὰ θαύματα δεικνύασιν.
ὁρῶ, ἔφη.
ὅρα τοίνυν παρὰ τοῦτο τὸ τειχίον φέροντας ἀνθρώπους"
514c,σκεύη τε παντοδαπὰ ὑπερέχοντα τοῦ τειχίου καὶ ἀνδριάντας
515a,"καὶ ἄλλα ζῷα λίθινά τε καὶ ξύλινα καὶ παντοῖα εἰργασμένα, οἷον εἰκὸς τοὺς μὲν φθεγγομένους, τοὺς δὲ σιγῶντας τῶν παραφερόντων."
515b,"εἶεν διὰ βίου;
τί δὲ τῶν παραφερομένων; οὐ ταὐτὸν τοῦτο;
τί μήν;
εἰ οὖν διαλέγεσθαι οἷοί τʼ εἶεν πρὸς ἀλλήλους, οὐ ταῦτα ἡγῇ ἂν τὰ ὄντα αὐτοὺς νομίζειν ἅπερ ὁρῷεν;
ἀνάγκη.
τί δʼ εἰ καὶ ἠχὼ τὸ δεσμωτήριον ἐκ τοῦ καταντικρὺ ἔχοι; ὁπότε τις τῶν παριόντων φθέγξαιτο, οἴει ἂν ἄλλο τι αὐτοὺς ἡγεῖσθαι τὸ φθεγγόμενον ἢ τὴν παριοῦσαν σκιάν;
μὰ Δίʼ οὐκ ἔγωγʼ, ἔφη."
515c,"παντάπασι δή, ἦν δʼ ἐγώ, οἱ τοιοῦτοι οὐκ ἂν ἄλλο τι νομίζοιεν τὸ ἀληθὲς ἢ τὰς τῶν σκευαστῶν σκιάς.
πολλὴ ἀνάγκη, ἔφη.
σκόπει δή, ἦν δʼ ἐγώ, αὐτῶν λύσιν τε καὶ ἴασιν τῶν τε δεσμῶν καὶ τῆς ἀφροσύνης, οἵα τις ἂν εἴη, εἰ φύσει τοιάδε συμβαίνοι αὐτοῖς· ὁπότε τις λυθείη καὶ ἀναγκάζοιτο ἐξαίφνης ἀνίστασθαί τε καὶ περιάγειν τὸν αὐχένα καὶ βαδίζειν καὶ πρὸς τὸ φῶς ἀναβλέπειν, πάντα δὲ ταῦτα ποιῶν ἀλγοῖ τε καὶ διὰ τὰς μαρμαρυγὰς ἀδυνατοῖ καθορᾶν ἐκεῖνα ὧν"
515d,"τότε τὰς σκιὰς ἑώρα, τί ἂν οἴει αὐτὸν εἰπεῖν, εἴ τις αὐτῷ λέγοι ὅτι τότε μὲν ἑώρα φλυαρίας, νῦν δὲ μᾶλλόν τι ἐγγυτέρω τοῦ ὄντος καὶ πρὸς μᾶλλον ὄντα τετραμμένος ὀρθότερον βλέποι, καὶ δὴ καὶ ἕκαστον τῶν παριόντων δεικνὺς αὐτῷ ἀναγκάζοι ἐρωτῶν ἀποκρίνεσθαι ὅτι ἔστιν; οὐκ οἴει αὐτὸν ἀπορεῖν τε ἂν καὶ ἡγεῖσθαι τὰ τότε ὁρώμενα ἀληθέστερα ἢ τὰ νῦν δεικνύμενα;
πολύ γʼ, ἔφη."
515e,"οὐκοῦν κἂν εἰ πρὸς αὐτὸ τὸ φῶς ἀναγκάζοι αὐτὸν βλέπειν, ἀλγεῖν τε ἂν τὰ ὄμματα καὶ φεύγειν ἀποστρεφόμενον πρὸς ἐκεῖνα ἃ δύναται καθορᾶν, καὶ νομίζειν ταῦτα τῷ ὄντι σαφέστερα τῶν δεικνυμένων;
οὕτως, ἔφη."
516a,"ἂν καὶ ἀγανακτεῖν ἑλκόμενον, καὶ ἐπειδὴ πρὸς τὸ φῶς ἔλθοι, αὐγῆς ἂν ἔχοντα τὰ ὄμματα μεστὰ ὁρᾶν οὐδʼ ἂν ἓν δύνασθαι τῶν νῦν λεγομένων ἀληθῶν;
οὐ γὰρ ἄν, ἔφη, ἐξαίφνης γε.
συνηθείας δὴ οἶμαι δέοιτʼ ἄν, εἰ μέλλοι τὰ ἄνω ὄψεσθαι. καὶ πρῶτον μὲν τὰς σκιὰς ἂν ῥᾷστα καθορῷ, καὶ μετὰ τοῦτο ἐν τοῖς ὕδασι τά τε τῶν ἀνθρώπων καὶ τὰ τῶν ἄλλων εἴδωλα, ὕστερον δὲ αὐτά· ἐκ δὲ τούτων τὰ ἐν τῷ οὐρανῷ καὶ αὐτὸν τὸν οὐρανὸν νύκτωρ ἂν ῥᾷον θεάσαιτο, προσβλέπων τὸ τῶν"
516b,"ἄστρων τε καὶ σελήνης φῶς, ἢ μεθʼ ἡμέραν τὸν ἥλιόν τε καὶ τὸ τοῦ ἡλίου.
πῶς δʼ οὔ;
τελευταῖον δὴ οἶμαι τὸν ἥλιον, οὐκ ἐν ὕδασιν οὐδʼ ἐν ἀλλοτρίᾳ ἕδρᾳ φαντάσματα αὐτοῦ, ἀλλʼ αὐτὸν καθʼ αὑτὸν ἐν τῇ αὑτοῦ χώρᾳ δύναιτʼ ἂν κατιδεῖν καὶ θεάσασθαι οἷός ἐστιν.
ἀναγκαῖον, ἔφη.
καὶ μετὰ ταῦτʼ ἂν ἤδη συλλογίζοιτο περὶ αὐτοῦ ὅτι οὗτος ὁ τάς τε ὥρας παρέχων καὶ ἐνιαυτοὺς καὶ πάντα ἐπιτροπεύων"
